"TAXON_NAME_ID","SCIENTIFIC_NAME","AUTHOR_TEXT"
178583,"Limax ihewstoni","Binney"
178584,"Gastrodonta ligerus","Lea"
40662,"Gonaxis johnstoni",""
40663,"Achatinella labiata","Newcomb, 1853"
40664,"Achatinella sanguinea","Newcomb, 1854"
40665,"Achatinella sordida","Newcomb, 1854"
40666,"Achatinella fumosa","Newcomb, 1854"
173405,"Hyalina demissa","Binney"
173406,"Hyalina acerra",""
173407,"Hyalina cerinoidea","Lewis"
173408,"Unio macrodon","Lea"
173409,"Hyalina fuliginosa","Griff"
173410,"Hyalina caduca","Pfr"
173413,"Edgaria pulchella","Bgt."
173415,"Hyalina semenlini","Moricand"
173416,"Hyalina zonites","Pfr"
173417,"Unio mundus","Lea"
173418,"Unio murrayensis","Lea"
40727,"Antalis bartletti","Henderson, 1920"
40728,"Fuegotrophon liratus","Gould"
41702,"Ledella","A. E. Verrill and Bush, 1897"
41703,"Malletia estheropsus",""
41705,"Pristigloma nitens",""
41706,"Alvania montagui","(Payraudeau, 1862)"
41707,"Seila trilineata","(Philippi, 1836)"
41708,"Gibbula franulum","(Gmelin, 1791)"
41709,"Jujubinus exasperatus","(Pennant, 1777)"
41710,"Gibbula umbilicalis","(da Costa, 1778)"
41711,"Euspira nitida","(Donovan, 1804)"
41712,"Gibbula magus","(Linnaeus, 1758)"
41713,"Calliostoma laugieri","(Payraudeau, 1826)"
114115,"Gyrotoma ornata","Anth."
114116,"Gyrotoma ovalis","Anth."
114117,"Crobicula consobrina","Smith"
114118,"Tellina","Linnaeus, 1758"
114121,"Olivella milliola",""
338535,"Kaliella amblia","Bttgr"
338536,"Kaliella convexoconica","Bttgr"
338537,"Kaliella doliolum","Pfr."
338538,"Kaliella indifferens","Bttgr"
338539,"Kaliella kiqeziensis","Prest"
338540,"Kaliella novapommerana","Rensch"
338541,"Kaliella pseudositala","Mllf."
338543,"Kaliella tenuisculpta","Mllf."
338544,"Kaliella viridula","Bttgr"
338561,"Conus laterculata","(Sowerby, G.B. II, 1870)"
114109,"Papuina (Dendrotrochus) holicinoides cleryi",""
114110,"Pomacea lattrei","Rve."
114111,"Venus notata","Say"
114112,"Venus mercinaria","Linn."
114113,"Achatinella morbida","Pfr"
114114,"Gyrotoma nucula","Anth."
192595,"Volutoderma mitraeformis",""
192607,"Siliquaria edentula",""
192609,"Siliquaria edentula","Gabb"
192615,"Spisula polynyma voyi",""
192616,"Callista (?Tapes) voyi",""
173399,"Vitrina tenuissima","Prest."
173401,"Helicina micholtzi","Mllf."
173402,"Unio metanervus","Raf"
173403,"Subulina (Nothapalus) laevigata","Pfeiffer"
173404,"Subulina anguistor","Pfeiffer"
41685,"Succinea contorta","C.B. Adams, 1845"
41686,"Succinea dominicensis","Pfeiffer"
41688,"Chiton glaucus","Gray, 1828"
41694,"Gibbula ardens","(von Salis, 1793)"
41695,"Vexillum littoralis","(Forbes, 1843)"
38230,"Delphinula radiata","Kv"
38231,"Trochus cingulatus","von Muhlberg, 1818"
38232,"Trochus","Linnaeus, 1758"
38233,"Haliotis barbouri","Foster, 1946"
38234,"Strophocheilus oblongus","(Müller, 1774)"
38235,"Manupecten pesfelis","(Linnaeus, 1758)"
414580,"Lametila",""
38248,"Albinaria schuetti","Nordsieck, 1984"
38249,"Rissoa auriscalpium","(Linnaeus, 1758)"
38250,"Manzonia crassa","(Kannacter, 1798)"
38251,"Alvania lactea","(Michand, 1832)"
38252,"Alvania cancellata","(Da Costa, 1778)"
38253,"Tricolia pullus","(Linnaeus, 1758)"
449968,"Flabellina ischitana","Hirano & Thompson, 1990"
449965,"Thuridilla hopei","(Vérany, 1853)"
41715,"Chiton fosteri","Bullock, 1972"
41716,"Chiton kurodai","Is. & Iw. Taki, 1929"
41717,"Leptochiton pergranatus","Dall, 1889"
41719,"Nassarius costulatus","(Payraudeau, 1826)"
41720,"Cochlicella acuta","(Muller, 1774)"
41721,"Irus irus","(Linnaeus, 1758)"
41722,"Glans aculeata","(Poli, 1795)"
47805,"Siliqua costata","Say, 1822"
47806,"Siliqua pulchella","(Dunker, 1852)"
47807,"Pitar roseus","(Broderip & Sowerby, 1829)"
47808,"Saxidomus nutalli","(Conrad, 1837)"
47809,"Solen","Linnaeus, 1758"
47810,"Tapes philippinarum","(Adams & Reeve, 1850)"
52870,"Campeloma exilis","Anttr."
52872,"Goniobasis angulata","Anthony"
52873,"Pleurobema farosum","Lea"
57855,"Liguus fasciatus achatinus","Clench"
57856,"Amphidromus metabletus pachycheilus","Möllendorff, 1901"
84624,"Placostylus submariei","Sovv."
82497,"Helix downieanus","Bland"
54143,"Notomella candida",""
54144,"Clanculus denticulatus",""
54145,"Clemeulus limbatus",""
50764,"Strophia pilsbryi evolva","Maynard, 1894"
50765,"Strophia restricta","Maynard, 1894"
50766,"Myonera demistriata","Allen & Morgan, 1981"
50767,"Myonera limatula","(Dall, 1881)"
50768,"Myonera pancistriata","Dall, 1886"
42385,"Pyrene scripta","(Lamarck, 1822)"
42366,"Mitrella delicata","(Reeve, 1859)"
42367,"Columbella dysoni","(Reeve, 1852)"
42368,"Nitidella nitida","(Lamarck, 1822)"
42369,"Strombina gibberula","(Sowerby, 1832)"
42370,"Mitrella acuminata","Menke, 1843"
42372,"Pyrene varians","(Sowerby, 1832)"
41749,"Streptaxis deformis","Ferussac"
42386,"Seminella peasei","(von Martens & Langkavel, 1871)"
42387,"Seminella saviniae","(Viader, 1951)"
42388,"Euplica varians","(Sowerby, 1832)"
42389,"Mitrella ocellina","Nordsieck, 1975"
40342,"Lambis lambis","Linnaeus, 1758"
40343,"Lambis millepeda","Linnaeus, 1758"
42394,"Turbonilla (Pyrgiscus) auricoma","Dall & Bartsch, 1903"
42395,"Pyrene versicolor","(Sowerby, 1832)"
42396,"Mitrella menkeana","Reeve, 1858"
41723,"Eatonina fulgida","(J. Adams, 1797)"
41724,"Eobania vermiculata","(Muller, 1774)"
41725,"Acanthocardia","J. E. Gray, 1851"
41726,"Mytilaster minimus","(Poli, 1795)"
41727,"Bankia (Plumulella) fosteri","Clench & Turner, 1946"
42352,"Odostomia fujitanii","Yokoyama, 1927"
41750,"Helicina fasciata substriata","Gray"
41751,"Succinea barbadensis",""
41752,"Lucidella barbadensis","Pfeiffer"
41753,"Lucidella plicatula",""
41754,"Katharina tunicata","(Wood, 1815)"
42412,"Zafra succinea","(Hervier, 1899)"
42413,"Zafra semisculpta","(G. & H. Nevill, 1875)"
42414,"Zafra comistea","(Melvill, 1906)"
42415,"Zafra minuscula gowllandi","(Brazier, 1874)"
40344,"Oliva tessellata","Lamarck, 1811"
40345,"Helix ticaonica","Broderip, 1841"
40346,"Achatinella (Achatinellastrum) curta","Newcomb, 1854"
40347,"Achatinella intermedia","Newcomb, 1854"
40348,"Achatinella cylindrica","Newcomb, 1854"
40349,"Achatinella reticulata","Newcomb, 1854"
42353,"Odostomia (Evalea) gravida","Gould, 1852"
42354,"Pyramidella hastata","(A. Adams in Sowerby, 1854)"
42373,"Anachis rugosa","(Sowerby, 1832)"
42374,"Mitrella argus","(d'Orbigny, 1942)"
42375,"Columbella aureomexicana","(Howard, 1963)"
42376,"Odostomia terryi","Olsson & McGinty, 1958"
42377,"Syrnola tincta","(Angas, 1871)"
42378,"Turbonilla (Pyrgiscus) tincta","(Sowerby, 1909)"
41755,"Mopalia lignosa","(Gould, 1846)"
41758,"Tricula bambooensis","Davis et al., 1986"
41759,"Tricula xiaolongmenensis","Davis et al., 1986"
41760,"Delavaya dianchiensis","Davis et al., 1986"
42397,"Mitrella jaspidea","(Sowerby, 1844)"
42398,"Mitrella moleculina","(Duclos, 1840)"
42399,"Iselica obtusa","(Carpenter, 1864)"
42401,"Pyramidella (Pharcidella) panamensis","Dall & Bartsch, 1909"
42402,"Linopyrga pascoei","(Angas, 1867)"
42355,"Pyramidella (Pharcidella) hastata","(A. Adams in Sowerby, 1854)"
